,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL,label
1464,76cb49ea-b403-59e4-be00-e3e9f1c8dce9,52,5,0,14,4,4,7,1,0,0,0,91,2,0,1,3,0,111,1
10594,4ffc8cd6-f199-55a8-b06c-5ca2bef25c3f,10,0,0,10,6,0,0,0,0,0,0,6,0,0,0,0,0,3,0
160,61fcbe26-cf35-58d5-86af-096bcbb39a59,4,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1
11192,f5003afa-cf25-5443-80fc-dc3096c2757c,3,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0
5454,7ea547e7-807c-599b-827d-c81261003597,6,1,0,5,1,4,1,0,0,0,0,4,1,0,0,4,0,8,1
16455,3a46ee3b-eefc-5056-8ecd-9751813b2e16,19,0,0,10,2,0,0,2,0,0,0,5,0,0,0,0,0,6,0
18621,1632aa25-fcf0-550f-8b09-5d99e4a3fa42,3,0,0,13,1,0,2,0,0,0,0,9,0,0,4,0,0,20,0
13246,ca080331-2711-57bb-aeab-060ea2879fdf,6,1,0,4,3,1,0,0,0,0,0,3,0,0,0,0,0,4,0
14482,ed3de1f9-3a75-5c34-b846-59cbc45ba72a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9911,8730f0b6-ef59-5fcc-8bb2-7d1751a87ad8,33,2,0,18,2,3,1,0,0,0,0,70,3,0,0,0,0,49,1
15281,8ea3a11d-27f0-5f18-af0b-af8e8c118c41,6,5,0,4,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0
17803,183063ef-f5c6-5a2a-b3d8-fab0966ee5d2,6,0,0,13,2,0,0,0,0,0,0,4,0,0,0,0,0,4,0
1649,ac61b9c2-b080-5c24-be59-d18458cbf5f0,7,3,0,13,6,1,0,0,0,0,0,13,1,0,0,0,0,4,1
8708,aef4229f-a70d-5811-a6eb-b28e33312a74,4,2,2,21,8,0,0,2,0,0,0,7,1,0,1,0,0,10,1
1003,ebe527c4-5ee0-5ac8-8511-a2363e183653,23,1,0,11,18,0,1,1,0,1,0,29,6,1,0,6,0,23,1
2271,d93b147d-63d3-52e2-b1ba-5065facc4cee,12,0,3,5,4,0,0,0,1,0,0,3,2,0,0,0,0,2,1
18333,190c453f-7a49-5223-bc13-f0ccea4eff95,2,11,0,16,20,2,2,1,0,0,0,84,9,0,42,7,0,33,0
12216,e50cc6d6-26a7-5fcd-adf9-059f24324fed,3,3,3,2,6,1,0,0,0,0,0,4,0,0,0,0,0,3,0
17317,dcda6e97-d746-5351-beb7-f57c726a3cc0,1,0,2,4,13,0,0,0,0,0,0,1,0,0,0,0,0,11,0
3130,9697040e-cd3f-5fc8-ba7f-685bf69d7d7f,18,6,0,12,5,0,0,1,2,0,0,24,1,0,1,1,0,6,1
